STATION,LAT,LONG,CBSEG_2003,CBSEG_2003_DESCRIPTION
TF1.3,38.81092,-76.71227,PAXTF,PATUXENT RIVER-TIDAL FRESH REGION
TF1.4,38.77302,-76.70927,PAXTF,PATUXENT RIVER-TIDAL FRESH REGION
TF1.5,38.71012,-76.70146,PAXTF,PATUXENT RIVER-TIDAL FRESH REGION
TF1.6,38.65845,-76.68382,PAXOH,PATUXENT RIVER-OLIGOHALINE REGION
TF1.7,38.58211,-76.68101,PAXOH,PATUXENT RIVER-OLIGOHALINE REGION
RET1.1,38.4909,-76.66429,PAXMH,PATUXENT RIVER-MESOHALINE REGION
LE1.1,38.42535,-76.60176,PAXMH,PATUXENT RIVER-MESOHALINE REGION
LE1.2,38.37887,-76.51132,PAXMH,PATUXENT RIVER-MESOHALINE REGION
LE1.3,38.3398,-76.4849,PAXMH,PATUXENT RIVER-MESOHALINE REGION
LE1.4,38.312,-76.42151,PAXMH,PATUXENT RIVER-MESOHALINE REGION
